White balance coefficients

Seq = 000, n = tensor([0.8163]), red_gain = tensor([2.3223]), blue_gain = tensor([3.6655])
Seq = 001, n = tensor([0.8083]), red_gain = tensor([2.3965]), blue_gain = tensor([3.5975])
Seq = 002, n = tensor([0.5689]), red_gain = tensor([2.1765]), blue_gain = tensor([3.5475])
Seq = 003, n = tensor([0.9122]), red_gain = tensor([2.1828]), blue_gain = tensor([3.6660])
Seq = 004, n = tensor([0.8531]), red_gain = tensor([1.9758]), blue_gain = tensor([3.5109])
Seq = 005, n = tensor([0.7783]), red_gain = tensor([2.3447]), blue_gain = tensor([3.4877])
Seq = 006, n = tensor([0.8552]), red_gain = tensor([2.2686]), blue_gain = tensor([3.5257])
Seq = 007, n = tensor([0.8174]), red_gain = tensor([2.3610]), blue_gain = tensor([3.3308])
Seq = 008, n = tensor([0.7062]), red_gain = tensor([1.9464]), blue_gain = tensor([3.6604])
Seq = 009, n = tensor([0.7050]), red_gain = tensor([2.3691]), blue_gain = tensor([3.5587])
Seq = 010, n = tensor([0.6380]), red_gain = tensor([2.3639]), blue_gain = tensor([3.3702])
Seq = 011, n = tensor([0.7279]), red_gain = tensor([2.1397]), blue_gain = tensor([3.5608])
Seq = 012, n = tensor([0.9487]), red_gain = tensor([2.2888]), blue_gain = tensor([3.5291])
Seq = 013, n = tensor([0.8751]), red_gain = tensor([2.1238]), blue_gain = tensor([3.6541])
Seq = 014, n = tensor([0.9168]), red_gain = tensor([2.3915]), blue_gain = tensor([3.5445])
Seq = 015, n = tensor([0.7786]), red_gain = tensor([2.2650]), blue_gain = tensor([3.6971])
Seq = 016, n = tensor([0.6550]), red_gain = tensor([2.1791]), blue_gain = tensor([3.4515])
Seq = 017, n = tensor([0.7691]), red_gain = tensor([2.3051]), blue_gain = tensor([3.3146])
Seq = 018, n = tensor([0.8756]), red_gain = tensor([2.0289]), blue_gain = tensor([3.4365])
Seq = 019, n = tensor([0.8481]), red_gain = tensor([2.1343]), blue_gain = tensor([3.6367])
Seq = 020, n = tensor([0.8319]), red_gain = tensor([1.9225]), blue_gain = tensor([3.3937])
Seq = 021, n = tensor([0.8552]), red_gain = tensor([2.3331]), blue_gain = tensor([3.6530])
Seq = 022, n = tensor([0.7822]), red_gain = tensor([2.2655]), blue_gain = tensor([3.6609])
Seq = 023, n = tensor([0.6906]), red_gain = tensor([2.1483]), blue_gain = tensor([3.5980])
Seq = 024, n = tensor([0.6833]), red_gain = tensor([2.2595]), blue_gain = tensor([3.5817])
Seq = 025, n = tensor([0.8541]), red_gain = tensor([1.9599]), blue_gain = tensor([3.5980])
Seq = 026, n = tensor([0.7739]), red_gain = tensor([2.0834]), blue_gain = tensor([3.5026])
Seq = 027, n = tensor([0.7309]), red_gain = tensor([2.1341]), blue_gain = tensor([3.6218])
Seq = 028, n = tensor([0.7780]), red_gain = tensor([2.3190]), blue_gain = tensor([3.6411])
Seq = 029, n = tensor([0.6971]), red_gain = tensor([2.2317]), blue_gain = tensor([3.5018])
Seq = 030, n = tensor([0.8173]), red_gain = tensor([2.1445]), blue_gain = tensor([3.3016])
Seq = 031, n = tensor([0.9404]), red_gain = tensor([2.3221]), blue_gain = tensor([3.5114])
Seq = 032, n = tensor([0.7579]), red_gain = tensor([2.2940]), blue_gain = tensor([3.6785])
Seq = 033, n = tensor([0.6652]), red_gain = tensor([2.3367]), blue_gain = tensor([3.6311])
Seq = 034, n = tensor([0.7516]), red_gain = tensor([2.2810]), blue_gain = tensor([3.5941])
Seq = 035, n = tensor([0.9171]), red_gain = tensor([2.3888]), blue_gain = tensor([3.3116])
Seq = 036, n = tensor([0.7200]), red_gain = tensor([2.0333]), blue_gain = tensor([3.4736])
Seq = 037, n = tensor([0.9044]), red_gain = tensor([2.1375]), blue_gain = tensor([3.6117])
Seq = 038, n = tensor([0.8487]), red_gain = tensor([2.3181]), blue_gain = tensor([3.5867])
Seq = 039, n = tensor([0.6950]), red_gain = tensor([2.0326]), blue_gain = tensor([3.5553])
Seq = 040, n = tensor([0.8493]), red_gain = tensor([2.0108]), blue_gain = tensor([3.4252])
Seq = 041, n = tensor([0.7631]), red_gain = tensor([2.1719]), blue_gain = tensor([3.5801])
Seq = 042, n = tensor([0.9748]), red_gain = tensor([2.0083]), blue_gain = tensor([3.3113])
Seq = 043, n = tensor([0.8602]), red_gain = tensor([2.1056]), blue_gain = tensor([3.5987])
Seq = 044, n = tensor([0.6918]), red_gain = tensor([2.3295]), blue_gain = tensor([3.6085])
Seq = 045, n = tensor([0.6816]), red_gain = tensor([2.2420]), blue_gain = tensor([3.6038])
Seq = 046, n = tensor([0.8929]), red_gain = tensor([2.2841]), blue_gain = tensor([3.6484])
Seq = 047, n = tensor([0.8056]), red_gain = tensor([2.2946]), blue_gain = tensor([3.4215])
Seq = 048, n = tensor([0.8734]), red_gain = tensor([2.2011]), blue_gain = tensor([3.6821])
Seq = 049, n = tensor([0.7969]), red_gain = tensor([1.9703]), blue_gain = tensor([3.6775])
Seq = 050, n = tensor([0.7424]), red_gain = tensor([2.3345]), blue_gain = tensor([3.3392])
